"TEMA";"SUBTEMA";"PERGUNTA";"NOME_ARQUIVO_JS"
"Meio Ambiente";"Consumo de água";"Qual é o consumo anual  de água comercial em Salvador?";"comercial.csv"
"Meio Ambiente";"Consumo de água";"Qual é o consumo anual  de água industrial em Salvador?";"industrial.csv"
